id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
4115,Female,54,1,40,0,1-2 Year,Yes,34967,156,210,1
4116,Male,44,1,28,0,1-2 Year,No,35286,124,53,0
4117,Female,25,1,15,1,< 1 Year,No,32773,152,140,0
4118,Female,20,1,46,1,< 1 Year,No,37273,160,17,0
4119,Male,43,1,8,1,1-2 Year,No,44475,7,158,0
4120,Male,36,1,0,0,1-2 Year,No,2630,124,201,0
4121,Male,30,1,3,1,< 1 Year,No,24077,152,66,0
4122,Male,52,1,46,1,1-2 Year,No,39165,26,202,0
4123,Female,57,1,28,0,> 2 Years,Yes,25588,122,94,0
4124,Male,28,1,28,1,< 1 Year,No,50044,26,63,0
4125,Male,30,1,14,0,1-2 Year,Yes,2630,156,66,0
4126,Female,42,1,28,0,1-2 Year,Yes,62922,124,299,1
4127,Male,22,1,30,1,< 1 Year,No,27329,154,78,0
4128,Male,37,1,28,0,1-2 Year,Yes,31501,124,106,0
4129,Female,25,1,26,1,< 1 Year,No,20170,152,194,0
4130,Male,21,1,11,1,< 1 Year,No,24782,152,212,0
4131,Female,20,1,45,1,< 1 Year,No,27000,160,259,0
4132,Female,23,1,6,1,< 1 Year,No,16539,152,29,0
4133,Female,23,1,8,0,< 1 Year,Yes,59194,160,247,0
4134,Female,27,1,34,1,< 1 Year,No,28278,152,257,0
4135,Male,52,1,11,0,1-2 Year,Yes,2630,26,181,0
4136,Male,57,1,28,0,1-2 Year,Yes,49500,124,92,1
4137,Female,28,1,39,0,1-2 Year,Yes,2630,156,134,0
4138,Female,27,1,43,1,< 1 Year,No,28420,152,184,0
4139,Female,24,1,36,1,< 1 Year,No,30435,152,263,0
4140,Female,27,1,41,1,< 1 Year,No,26675,152,98,0
4141,Female,22,1,26,0,< 1 Year,Yes,27677,152,126,0
4142,Female,24,1,37,0,< 1 Year,No,33585,152,257,0
4143,Male,48,1,18,0,1-2 Year,Yes,31097,26,127,1
4144,Female,73,1,28,0,> 2 Years,Yes,68028,26,215,0
4145,Female,55,1,15,0,1-2 Year,Yes,38911,124,78,0
4146,Male,21,1,8,1,< 1 Year,No,42791,160,250,0
4147,Male,57,1,48,1,1-2 Year,No,2630,15,22,0
4148,Male,24,1,28,1,< 1 Year,No,2630,152,280,0
4149,Male,33,1,2,1,< 1 Year,No,47849,152,270,0
4150,Female,37,1,41,0,1-2 Year,Yes,2630,156,40,0
4151,Male,72,1,28,0,1-2 Year,Yes,44803,26,233,0
4152,Male,25,1,8,0,< 1 Year,Yes,36549,152,115,0
4153,Male,36,1,2,0,1-2 Year,Yes,32912,124,235,0
4154,Male,26,1,6,1,< 1 Year,No,32474,152,85,0
4155,Male,36,1,29,1,1-2 Year,No,51435,152,172,0
4156,Male,23,1,49,0,< 1 Year,Yes,35448,26,51,0
4157,Female,26,1,32,1,< 1 Year,No,26869,152,174,0
4158,Male,25,1,29,0,< 1 Year,Yes,2630,152,218,1
4159,Male,60,1,3,0,1-2 Year,Yes,33423,124,193,0
4160,Female,32,1,30,0,1-2 Year,Yes,27412,154,268,1
4161,Male,53,1,46,0,1-2 Year,Yes,2630,124,145,0
4162,Male,39,1,28,0,1-2 Year,Yes,54847,26,185,0
4163,Male,50,1,46,0,< 1 Year,No,2630,1,36,0
4164,Female,43,1,28,1,1-2 Year,No,27332,26,271,0
4165,Female,39,1,28,1,1-2 Year,No,31868,125,140,0
4166,Male,25,1,46,0,< 1 Year,Yes,29317,152,269,0
4167,Female,34,1,28,0,1-2 Year,Yes,42128,124,220,0
4168,Female,21,1,14,0,< 1 Year,Yes,27598,153,121,1
4169,Male,65,1,28,1,1-2 Year,No,64702,55,216,0
4170,Male,49,1,8,0,1-2 Year,Yes,39006,26,83,0
4171,Female,47,1,8,1,1-2 Year,No,91520,124,263,0
4172,Male,73,1,28,1,1-2 Year,No,58186,125,30,0
4173,Female,54,1,28,0,1-2 Year,Yes,38392,26,144,1
4174,Male,43,1,32,0,1-2 Year,Yes,28190,154,147,1
4175,Male,21,1,12,1,< 1 Year,No,2630,152,156,0
4176,Female,29,1,39,1,< 1 Year,No,46655,152,232,0
4177,Male,24,1,28,1,< 1 Year,No,43466,152,275,0
4178,Male,45,1,28,0,1-2 Year,Yes,31036,124,94,0
4179,Female,72,1,3,0,1-2 Year,Yes,29394,26,158,0
4180,Male,41,1,23,1,1-2 Year,No,2630,124,132,0
4181,Male,36,1,15,0,1-2 Year,Yes,29411,124,278,0
4182,Male,27,1,36,1,< 1 Year,No,29457,152,90,0
4183,Female,75,1,46,0,1-2 Year,Yes,30864,26,15,0
4184,Female,55,1,4,0,1-2 Year,Yes,26487,26,91,0
4185,Female,36,1,28,1,1-2 Year,No,25340,152,186,0
4186,Male,50,1,28,0,1-2 Year,Yes,29475,124,207,1
4187,Male,53,1,12,0,1-2 Year,Yes,38361,26,199,0
4188,Male,42,1,46,0,1-2 Year,Yes,37440,124,105,1
4189,Female,46,1,43,0,1-2 Year,Yes,53808,124,36,0
4190,Male,32,1,31,0,1-2 Year,No,2630,156,140,0
4191,Male,22,1,10,1,< 1 Year,No,29641,152,232,0
4192,Male,42,1,24,0,1-2 Year,Yes,2630,157,84,1
4193,Male,47,1,28,0,1-2 Year,No,71601,26,103,0
4194,Male,22,1,11,1,< 1 Year,No,21939,152,220,0
4195,Male,66,1,8,0,1-2 Year,Yes,35815,124,230,0
4196,Female,21,1,37,0,< 1 Year,Yes,35967,160,101,0
4197,Female,72,1,28,0,1-2 Year,Yes,38221,122,26,0
4198,Female,31,1,41,0,1-2 Year,Yes,2630,156,108,1
4199,Female,22,1,29,1,< 1 Year,No,24865,152,41,0
4200,Female,43,1,28,0,1-2 Year,Yes,78383,26,258,1
4201,Female,40,1,28,0,1-2 Year,Yes,2630,160,13,0
4202,Female,28,1,45,1,< 1 Year,No,32725,152,114,0
4203,Male,20,1,8,1,< 1 Year,No,42332,160,237,0
4204,Male,41,1,46,1,1-2 Year,No,22564,91,297,0
4205,Female,49,1,35,1,1-2 Year,No,22097,152,244,0
4206,Female,25,1,12,1,< 1 Year,No,32618,152,275,0
4207,Male,32,1,28,1,< 1 Year,No,72544,152,149,0
4208,Male,61,1,46,0,1-2 Year,Yes,40988,26,192,0
4209,Female,37,1,41,0,1-2 Year,Yes,2630,156,50,0
4210,Male,34,1,28,0,1-2 Year,Yes,40227,124,194,0
4211,Female,41,1,50,0,1-2 Year,Yes,30766,124,165,0
4212,Male,25,1,28,1,< 1 Year,No,55345,152,167,0
4213,Male,20,1,6,0,< 1 Year,Yes,38547,160,104,0
4214,Female,21,1,26,0,< 1 Year,Yes,28988,160,24,0
4215,Male,46,1,28,0,1-2 Year,Yes,2630,26,211,0
4216,Male,25,1,33,1,< 1 Year,No,31465,152,143,0
4217,Male,25,1,25,1,< 1 Year,No,22398,152,180,0
4218,Male,34,1,39,0,1-2 Year,Yes,2630,157,127,1
4219,Female,22,1,27,0,< 1 Year,Yes,22199,152,122,0
4220,Male,24,1,6,1,< 1 Year,No,17955,152,40,0
4221,Female,46,1,30,0,1-2 Year,Yes,2630,124,240,0
4222,Male,51,1,11,0,1-2 Year,No,2630,26,175,0
4223,Male,72,1,28,0,1-2 Year,Yes,38499,60,155,0
4224,Female,31,1,41,0,< 1 Year,Yes,36447,152,68,1
4225,Female,24,1,29,1,< 1 Year,No,61804,151,236,0
4226,Male,66,1,48,1,1-2 Year,No,2630,124,101,0
4227,Male,24,1,6,1,< 1 Year,Yes,36064,152,95,0
4228,Male,29,1,50,1,< 1 Year,No,34913,152,125,0
4229,Male,64,1,18,1,1-2 Year,No,34446,124,27,0
4230,Female,40,1,28,0,1-2 Year,Yes,2630,122,296,0
4231,Male,43,1,28,1,1-2 Year,No,24768,60,277,0
4232,Female,59,1,30,1,1-2 Year,No,31182,152,81,0
4233,Female,22,1,41,1,< 1 Year,No,42774,152,111,0
4234,Male,22,1,36,1,< 1 Year,Yes,25798,160,176,0
4235,Female,28,1,31,1,< 1 Year,No,2630,152,86,0
4236,Male,31,1,12,1,1-2 Year,No,31386,124,238,0
4237,Male,43,1,28,1,1-2 Year,No,2630,124,230,0
4238,Male,47,1,8,0,1-2 Year,Yes,58193,124,203,1
4239,Male,56,1,28,1,1-2 Year,No,2630,26,167,0
4240,Female,24,1,11,1,< 1 Year,No,2630,152,194,0
4241,Male,48,1,28,0,1-2 Year,No,33027,154,286,0
4242,Male,48,1,28,0,1-2 Year,Yes,54924,124,67,0
4243,Female,22,1,28,1,< 1 Year,No,62684,152,163,0
4244,Female,25,1,30,1,< 1 Year,No,24918,152,42,0
4245,Female,25,1,15,0,< 1 Year,Yes,42169,124,182,0
4246,Female,58,1,28,0,1-2 Year,Yes,62806,26,238,1
4247,Female,71,1,9,0,1-2 Year,Yes,38751,124,211,0
4248,Male,50,1,46,1,1-2 Year,No,19883,26,30,0
4249,Male,45,1,28,0,> 2 Years,Yes,35806,157,245,0
4250,Female,70,1,28,1,1-2 Year,No,27811,124,102,0
4251,Female,28,1,33,1,< 1 Year,No,32250,152,153,0
4252,Female,49,1,28,0,1-2 Year,Yes,26553,124,106,0
4253,Male,24,1,46,0,< 1 Year,Yes,39722,160,276,0
4254,Female,51,1,28,0,1-2 Year,Yes,28407,26,258,0
4255,Male,57,1,42,1,1-2 Year,No,44451,124,119,0
4256,Female,26,1,4,1,< 1 Year,No,27615,152,41,0
4257,Female,40,1,29,1,1-2 Year,No,38051,124,34,0
4258,Female,23,1,21,0,1-2 Year,Yes,29199,155,180,1
4259,Male,51,1,41,0,1-2 Year,Yes,23411,26,260,0
4260,Male,35,1,28,0,1-2 Year,Yes,34990,157,64,0
4261,Female,73,1,28,0,1-2 Year,Yes,70479,122,180,1
4262,Female,54,1,0,0,1-2 Year,No,2630,24,65,0
4263,Male,53,1,8,0,1-2 Year,Yes,54384,124,27,0
4264,Male,27,1,41,0,< 1 Year,Yes,31276,152,207,1
4265,Male,44,1,28,0,1-2 Year,Yes,50521,139,168,0
4266,Male,38,1,28,0,1-2 Year,Yes,2630,156,11,1
4267,Female,22,1,8,1,< 1 Year,No,34582,152,218,0
4268,Male,21,1,46,1,< 1 Year,No,35095,160,169,0
4269,Female,44,1,28,1,1-2 Year,No,40462,124,279,0
4270,Male,52,1,30,0,1-2 Year,Yes,36933,124,47,0
4271,Female,47,1,28,0,1-2 Year,Yes,44970,26,215,0
4272,Female,23,1,29,1,< 1 Year,No,30266,152,113,0
4273,Male,77,1,28,0,1-2 Year,Yes,2630,122,173,0
4274,Male,67,1,50,0,1-2 Year,Yes,33942,8,124,0
4275,Female,36,1,38,0,1-2 Year,Yes,2630,124,258,0
4276,Female,20,1,36,0,< 1 Year,Yes,28220,160,281,0
4277,Female,47,1,28,0,1-2 Year,No,45359,26,285,0
4278,Female,24,1,12,0,< 1 Year,No,31316,160,42,0
4279,Female,45,1,2,0,1-2 Year,Yes,30897,154,180,1
4280,Female,28,1,8,1,< 1 Year,No,38071,152,296,0
4281,Female,29,1,47,0,< 1 Year,No,21651,152,35,0
4282,Male,31,1,28,0,< 1 Year,Yes,42184,163,133,0
4283,Female,33,1,15,0,< 1 Year,Yes,34327,152,130,0
4284,Male,34,1,14,0,1-2 Year,Yes,21476,124,185,1
4285,Male,26,1,3,1,< 1 Year,No,26746,152,277,0
4286,Female,48,1,28,0,1-2 Year,Yes,56532,26,159,0
4287,Male,23,1,41,1,< 1 Year,No,53456,152,81,0
4288,Male,63,1,46,0,1-2 Year,Yes,34378,26,234,0
4289,Male,46,1,33,0,1-2 Year,No,22515,124,276,0
4290,Female,26,1,41,1,< 1 Year,No,31261,152,208,0
4291,Male,41,1,9,0,1-2 Year,Yes,33434,26,283,0
4292,Male,27,1,45,0,< 1 Year,Yes,87273,152,140,0
4293,Male,27,1,35,1,< 1 Year,No,21511,152,213,0
4294,Female,22,1,30,1,< 1 Year,No,34534,152,91,0
4295,Male,75,1,47,0,1-2 Year,Yes,24169,26,122,0
4296,Male,24,1,15,1,< 1 Year,No,39954,160,157,0
4297,Female,44,1,28,1,1-2 Year,No,54358,29,139,0
4298,Female,21,1,39,1,< 1 Year,No,54633,160,299,0
4299,Male,36,1,28,0,1-2 Year,Yes,68036,157,194,0
4300,Male,24,1,15,0,< 1 Year,Yes,39399,151,279,0
4301,Female,22,1,41,1,< 1 Year,No,42990,160,240,0
4302,Male,54,1,28,1,1-2 Year,No,56634,124,39,0
4303,Male,25,1,15,1,< 1 Year,No,33055,152,170,0
4304,Male,24,1,27,1,< 1 Year,No,39311,152,225,0
4305,Male,49,1,12,1,1-2 Year,No,2630,26,295,0
4306,Female,47,1,35,1,1-2 Year,No,2630,124,189,0
4307,Male,24,1,8,0,< 1 Year,Yes,29924,152,248,0
4308,Male,23,1,41,1,< 1 Year,No,26016,152,149,0
4309,Male,23,1,37,1,< 1 Year,No,42901,152,99,0
4310,Male,24,1,6,1,< 1 Year,No,28785,152,100,0
4311,Male,45,1,28,1,1-2 Year,No,36675,122,59,0
4312,Male,22,1,13,1,< 1 Year,No,18231,152,73,0
4313,Male,24,1,8,1,< 1 Year,No,33305,152,19,0
4314,Female,33,1,46,1,1-2 Year,No,24460,124,269,0
4315,Male,55,1,28,0,1-2 Year,Yes,37450,26,76,0
4316,Male,41,1,3,0,1-2 Year,Yes,24398,26,285,1
4317,Male,41,1,28,0,1-2 Year,Yes,31987,26,268,0
4318,Female,21,1,30,1,< 1 Year,No,27245,160,264,0
4319,Male,43,1,28,0,1-2 Year,Yes,37223,122,85,0
4320,Female,53,1,32,1,1-2 Year,No,2630,124,169,0
4321,Female,24,1,9,1,< 1 Year,No,27992,152,45,0
4322,Female,43,1,28,0,1-2 Year,Yes,46256,26,97,0
4323,Male,40,1,19,0,1-2 Year,Yes,36780,157,154,0
4324,Male,43,1,8,1,1-2 Year,Yes,46186,124,204,0
4325,Female,42,1,46,1,1-2 Year,No,24018,124,129,0
4326,Male,51,1,28,0,1-2 Year,Yes,38954,26,119,0
4327,Male,54,1,28,0,1-2 Year,Yes,2630,122,276,0
4328,Male,78,1,44,1,1-2 Year,No,28046,8,193,0
4329,Male,53,1,28,0,1-2 Year,Yes,48879,26,116,0
4330,Male,54,1,7,0,1-2 Year,Yes,31555,26,285,0
4331,Female,60,1,28,0,1-2 Year,Yes,22785,26,192,0
4332,Female,24,1,11,1,< 1 Year,No,26823,152,14,0
4333,Male,24,1,28,1,< 1 Year,No,42705,152,247,0
4334,Female,22,1,11,1,< 1 Year,No,36269,152,28,0
4335,Female,76,1,28,1,1-2 Year,No,39284,124,77,0
4336,Female,72,1,43,0,1-2 Year,Yes,37834,124,66,0
4337,Male,22,1,8,1,< 1 Year,No,40179,152,216,0
4338,Female,39,1,28,0,1-2 Year,Yes,73440,124,258,1
4339,Male,62,1,28,1,1-2 Year,Yes,2630,26,58,0
4340,Female,25,1,1,1,< 1 Year,No,2630,152,157,0
4341,Female,75,1,28,0,1-2 Year,Yes,27569,122,276,0
4342,Male,25,1,11,1,< 1 Year,No,22955,152,290,0
4343,Male,35,1,15,1,1-2 Year,No,23398,152,108,0
4344,Female,42,1,28,0,1-2 Year,Yes,43639,26,29,1
4345,Male,61,1,36,1,1-2 Year,No,2630,26,166,0
4346,Male,30,1,8,0,< 1 Year,Yes,66210,156,228,0
4347,Male,32,1,32,1,< 1 Year,No,30883,152,190,0
4348,Male,60,1,35,0,1-2 Year,Yes,34402,26,276,1
4349,Female,69,1,28,0,> 2 Years,Yes,33957,26,198,1
4350,Female,38,1,21,0,1-2 Year,No,18204,152,134,0
4351,Male,56,1,37,0,1-2 Year,Yes,27550,124,160,0
4352,Female,48,1,43,0,1-2 Year,Yes,44894,26,189,0
4353,Male,20,1,28,0,1-2 Year,Yes,22125,157,46,1
4354,Female,28,1,8,0,1-2 Year,Yes,47742,26,136,0
4355,Female,25,1,28,1,< 1 Year,No,25210,152,243,0
4356,Male,54,1,46,0,1-2 Year,Yes,35469,11,269,0
4357,Male,49,1,35,1,1-2 Year,Yes,2630,154,298,0
4358,Female,21,1,50,0,< 1 Year,Yes,40089,160,242,0
4359,Male,67,1,18,0,1-2 Year,Yes,40277,124,106,0
4360,Male,68,1,28,1,1-2 Year,No,48286,26,78,0
4361,Female,21,1,46,0,< 1 Year,Yes,27915,152,248,0
4362,Male,33,1,28,0,1-2 Year,No,42889,124,27,0
4363,Female,65,1,28,0,1-2 Year,Yes,39728,26,257,1
4364,Male,41,1,28,1,1-2 Year,No,26094,124,103,0
4365,Male,61,1,48,0,1-2 Year,Yes,2630,124,121,0
4366,Female,40,1,46,1,1-2 Year,No,35837,26,238,0
4367,Female,60,1,28,0,1-2 Year,Yes,44272,26,136,0
4368,Male,23,1,8,1,< 1 Year,No,56631,152,61,0
4369,Female,41,1,28,1,1-2 Year,No,32515,19,250,0
4370,Female,37,1,28,0,> 2 Years,Yes,54122,124,138,0
4371,Male,52,1,28,0,> 2 Years,Yes,50941,124,159,0
4372,Male,24,1,45,0,< 1 Year,Yes,21313,152,159,0
4373,Female,24,1,13,0,< 1 Year,No,2630,152,123,0
4374,Male,45,1,28,0,1-2 Year,No,23946,26,75,0
4375,Male,42,1,28,0,1-2 Year,Yes,24451,124,132,0
4376,Male,20,1,13,0,< 1 Year,Yes,18765,160,293,0
4377,Female,23,1,49,0,< 1 Year,Yes,42194,152,70,0
4378,Male,51,1,28,0,1-2 Year,No,31639,124,249,0
4379,Male,46,1,28,0,1-2 Year,Yes,72004,124,187,1
4380,Male,22,1,3,1,< 1 Year,No,58754,160,224,0
4381,Female,34,1,46,0,1-2 Year,Yes,29947,157,269,0
4382,Male,21,1,36,0,< 1 Year,Yes,2630,160,147,1
4383,Male,56,1,28,0,1-2 Year,Yes,31255,26,128,0
4384,Male,45,1,28,0,1-2 Year,Yes,25866,26,213,0
4385,Male,27,1,25,1,< 1 Year,No,25727,152,84,0
4386,Female,22,1,13,0,< 1 Year,Yes,22260,160,14,0
4387,Male,64,1,15,0,1-2 Year,Yes,30135,26,116,0
4388,Male,44,1,28,1,1-2 Year,No,33483,124,90,0
4389,Female,22,1,8,0,< 1 Year,No,58543,160,295,0
4390,Male,22,1,8,1,< 1 Year,No,78418,152,180,0
4391,Male,24,1,46,0,1-2 Year,Yes,27902,124,90,1
4392,Female,25,1,25,1,< 1 Year,No,39945,152,256,0
4393,Male,29,1,11,1,< 1 Year,No,33748,152,84,0
4394,Female,25,1,8,0,< 1 Year,Yes,29896,152,25,0
4395,Female,22,1,46,1,< 1 Year,No,38371,152,34,0
4396,Male,40,1,46,1,1-2 Year,No,27242,124,154,0
4397,Female,22,1,50,1,< 1 Year,No,28560,152,189,0
4398,Female,69,1,28,0,> 2 Years,Yes,53335,26,18,0
4399,Male,52,1,13,0,1-2 Year,Yes,26393,26,293,0
4400,Female,26,1,23,1,< 1 Year,No,31288,152,42,0
4401,Female,69,1,41,1,1-2 Year,No,31912,124,19,0
4402,Male,21,1,8,1,< 1 Year,No,36052,152,77,0
4403,Male,53,1,28,1,1-2 Year,No,34302,26,251,0
4404,Female,60,1,50,0,1-2 Year,Yes,27640,8,286,0
4405,Male,27,1,6,1,< 1 Year,No,25672,152,234,0
4406,Female,35,1,30,1,1-2 Year,No,25913,152,231,0
4407,Male,44,1,15,0,1-2 Year,Yes,33192,124,80,0
4408,Male,50,1,28,0,1-2 Year,Yes,32114,124,233,1
4409,Male,34,1,50,1,1-2 Year,No,28044,8,119,0
4410,Female,23,1,35,1,< 1 Year,No,33464,152,264,0
4411,Female,27,1,28,1,< 1 Year,No,48661,152,64,0
4412,Female,24,1,47,0,< 1 Year,Yes,28111,26,88,0
4413,Male,23,1,46,1,< 1 Year,No,28919,152,90,0
4414,Male,22,1,14,0,1-2 Year,Yes,25129,124,31,0
4415,Female,25,1,14,0,< 1 Year,No,31310,152,37,0
4416,Male,47,1,36,0,1-2 Year,Yes,2630,124,201,0
4417,Male,26,1,21,0,< 1 Year,Yes,27281,152,149,1
4418,Female,36,1,28,0,1-2 Year,Yes,43321,124,217,1
4419,Female,22,1,8,0,< 1 Year,Yes,48440,152,250,0
4420,Female,61,1,29,0,1-2 Year,Yes,39509,120,121,1
4421,Male,22,1,17,1,< 1 Year,No,30730,152,36,0
4422,Male,58,1,41,0,> 2 Years,Yes,48935,12,88,0
4423,Male,59,1,46,0,1-2 Year,No,33655,26,228,0
4424,Female,22,1,8,1,< 1 Year,No,35732,160,117,0
4425,Female,23,1,21,1,< 1 Year,No,28128,152,228,0
4426,Male,78,1,1,1,1-2 Year,No,2630,26,82,0
4427,Male,23,1,46,1,< 1 Year,No,20502,152,275,0
4428,Male,61,1,28,1,1-2 Year,No,53017,124,222,0
4429,Female,29,1,30,1,< 1 Year,No,36909,152,156,0
4430,Female,73,1,28,0,1-2 Year,No,34081,26,221,0
4431,Female,52,1,9,0,1-2 Year,Yes,2630,156,266,0
4432,Female,53,1,28,0,> 2 Years,Yes,50256,26,57,0
4433,Male,53,1,35,1,1-2 Year,No,46622,152,256,0
4434,Female,36,1,28,0,1-2 Year,Yes,30425,26,166,1
4435,Female,25,1,41,1,< 1 Year,Yes,26791,152,212,0
4436,Female,60,1,24,0,1-2 Year,Yes,2630,26,172,0
4437,Male,39,1,28,0,> 2 Years,Yes,40679,124,243,0
4438,Male,41,1,5,0,1-2 Year,Yes,31407,152,31,0
4439,Male,30,1,3,0,1-2 Year,Yes,33002,155,167,1
4440,Male,67,1,46,0,1-2 Year,Yes,26284,124,20,0
4441,Female,47,1,28,0,1-2 Year,Yes,28941,26,172,1
4442,Female,49,1,13,0,1-2 Year,Yes,2630,26,260,1
4443,Male,29,1,49,0,< 1 Year,No,32550,152,280,0
4444,Male,36,1,28,0,1-2 Year,No,2630,26,40,0
4445,Female,58,1,8,0,1-2 Year,No,42894,124,57,0
4446,Male,48,1,19,0,1-2 Year,Yes,42838,124,229,0
4447,Female,45,1,28,0,1-2 Year,Yes,52298,124,47,1
4448,Male,42,1,3,0,1-2 Year,Yes,2630,124,127,0
4449,Male,55,1,11,1,1-2 Year,No,40776,26,136,0
4450,Male,40,1,20,0,1-2 Year,Yes,2630,124,217,0
4451,Female,42,1,28,0,1-2 Year,Yes,30314,26,235,0
4452,Female,26,1,21,1,< 1 Year,No,37844,152,216,0
4453,Male,21,1,46,0,< 1 Year,Yes,41583,154,49,0
4454,Female,68,1,35,0,1-2 Year,Yes,33302,124,176,0
4455,Female,76,1,28,0,1-2 Year,Yes,25969,122,22,0
4456,Female,22,1,36,1,< 1 Year,No,34302,152,161,0
4457,Female,43,1,18,0,1-2 Year,Yes,37205,26,237,0
4458,Male,59,1,28,0,> 2 Years,Yes,59984,26,129,0
4459,Male,24,1,29,1,< 1 Year,No,52496,152,127,0
4460,Male,80,1,14,0,1-2 Year,Yes,22754,122,157,0
4461,Male,24,1,36,1,< 1 Year,No,30686,152,55,0
4462,Male,52,1,19,0,1-2 Year,Yes,41780,124,183,0
4463,Male,25,1,13,1,< 1 Year,No,18804,152,32,0
4464,Female,24,1,41,1,< 1 Year,No,36482,152,42,0
4465,Male,63,1,28,1,1-2 Year,No,25548,26,279,0
4466,Male,71,1,41,0,1-2 Year,Yes,35833,26,98,0
4467,Male,65,1,28,0,1-2 Year,Yes,31547,124,131,0
4468,Male,55,1,28,0,1-2 Year,Yes,33638,124,59,0
4469,Male,50,1,41,1,1-2 Year,No,35880,122,156,0
4470,Male,36,1,32,0,1-2 Year,Yes,48979,124,45,1
4471,Male,62,1,28,0,> 2 Years,Yes,55704,122,296,0
4472,Female,51,1,43,0,1-2 Year,Yes,43361,26,12,0
4473,Male,53,1,39,0,1-2 Year,Yes,27997,124,33,0
4474,Male,47,1,11,1,1-2 Year,No,37092,26,287,0
4475,Female,26,1,8,1,< 1 Year,No,31056,152,198,0
4476,Male,41,1,28,0,1-2 Year,Yes,28188,124,119,1
4477,Male,70,1,28,1,1-2 Year,Yes,35873,124,223,0
4478,Male,52,1,48,0,1-2 Year,Yes,2630,124,97,0
4479,Male,21,1,36,1,< 1 Year,No,31416,152,288,0
4480,Female,42,1,8,0,> 2 Years,Yes,40472,124,122,0
4481,Female,36,1,11,1,1-2 Year,No,22113,152,196,0
4482,Female,21,1,41,0,< 1 Year,Yes,31743,152,63,0
4483,Female,23,1,26,1,< 1 Year,No,46129,152,221,0
4484,Male,59,1,0,0,1-2 Year,Yes,2630,124,284,0
4485,Female,23,1,46,1,< 1 Year,Yes,27673,26,49,0
4486,Male,24,1,10,1,< 1 Year,No,24377,152,49,0
4487,Female,41,1,28,0,1-2 Year,Yes,45633,26,223,1
4488,Male,67,1,28,0,1-2 Year,Yes,53757,122,29,0
4489,Female,21,1,8,0,< 1 Year,Yes,2630,26,271,0
4490,Male,47,1,12,0,1-2 Year,Yes,29775,26,26,1
4491,Male,58,1,28,0,> 2 Years,Yes,42939,124,127,0
4492,Male,24,1,28,1,1-2 Year,Yes,2630,157,237,0
4493,Female,40,1,8,0,1-2 Year,No,30882,7,42,0
4494,Female,21,1,47,0,< 1 Year,Yes,2630,152,237,0
4495,Female,22,1,50,0,< 1 Year,No,36147,152,288,0
4496,Female,45,1,28,0,1-2 Year,No,44264,122,71,0
4497,Male,75,1,28,0,1-2 Year,Yes,44492,125,261,0
4498,Female,27,1,34,0,< 1 Year,Yes,36668,152,181,0
4499,Male,71,1,28,0,1-2 Year,Yes,38551,13,208,0
4500,Female,51,1,28,0,1-2 Year,Yes,48658,124,257,0
4501,Male,56,1,28,1,1-2 Year,No,2630,124,210,0
4502,Male,44,1,25,1,1-2 Year,No,2630,124,14,0
4503,Male,28,1,32,1,< 1 Year,Yes,34022,160,32,0
4504,Female,30,1,49,1,< 1 Year,No,22181,26,45,0
4505,Male,36,1,33,1,1-2 Year,Yes,33901,124,287,0
4506,Male,62,1,28,0,> 2 Years,Yes,44402,26,47,0
4507,Male,68,1,46,0,1-2 Year,Yes,19833,124,72,1
4508,Female,45,1,28,0,1-2 Year,Yes,38680,122,126,0
4509,Male,43,1,28,0,1-2 Year,Yes,2630,26,250,1
4510,Male,46,1,28,1,1-2 Year,No,2630,52,24,0
4511,Male,56,1,8,1,1-2 Year,No,38090,26,201,0
4512,Male,28,1,41,1,< 1 Year,No,51297,152,86,0
4513,Male,39,1,8,0,1-2 Year,Yes,32775,124,250,0
4514,Female,24,1,49,0,< 1 Year,Yes,33029,152,284,0
4515,Female,45,1,28,0,1-2 Year,Yes,37388,26,78,1
4516,Female,20,1,11,0,< 1 Year,Yes,2630,160,61,0
4517,Male,79,1,8,0,1-2 Year,No,31956,7,195,0
4518,Female,22,1,8,1,< 1 Year,No,33643,152,138,0
4519,Male,42,1,31,0,1-2 Year,Yes,2630,124,84,1
4520,Male,66,1,41,1,1-2 Year,No,54794,26,168,0
4521,Male,66,1,28,1,1-2 Year,No,38239,24,127,0
4522,Male,35,1,41,0,1-2 Year,Yes,42783,124,31,1
4523,Female,21,1,32,0,< 1 Year,No,26738,152,171,0
4524,Male,24,1,4,0,< 1 Year,Yes,33431,152,228,0
4525,Male,52,1,31,1,1-2 Year,Yes,2630,26,86,0
4526,Male,42,1,19,0,1-2 Year,Yes,28063,124,14,0
4527,Female,41,1,50,0,1-2 Year,Yes,23422,124,30,0
4528,Male,58,1,24,0,1-2 Year,Yes,23882,124,158,1
4529,Male,39,1,8,0,1-2 Year,Yes,37566,26,174,1
4530,Female,22,1,30,1,< 1 Year,No,2630,152,281,0
4531,Male,21,1,14,1,< 1 Year,No,2630,152,94,0
4532,Male,21,1,21,1,< 1 Year,No,31124,152,217,0
4533,Female,28,1,49,0,< 1 Year,Yes,2630,160,103,0
4534,Female,46,1,45,1,1-2 Year,No,30855,152,208,0
4535,Male,69,1,17,0,1-2 Year,Yes,46150,124,55,1
